,team1,team2,winner,pred1,preddraw,pred2,Group
0,Ecuador,Qatar,Ecuador,0.608242042177145,0.264314282527953,0.127443675294902,Group A
1,England,Iran,England,0.73164555395407,0.195363193697693,0.072991252348237,Group B
2,Netherlands,Senegal,Netherlands,0.717643607665453,0.191807475942884,0.090548916391664,Group A
3,USA,Wales,Wales,0.328203132886088,0.212845906541212,0.458950960572699,Group B
4,Argentina,Saudi Arabia,Argentina,0.834115503235429,0.135148656957598,0.030735839806973,Group C
5,Denmark,Tunisia,Denmark,0.602710106854915,0.269262530896822,0.128027362248262,Group D
6,Mexico,Poland,Mexico,0.499250673681464,0.308326481400883,0.192422844917652,Group C
7,France,Australia,France,0.676756033535237,0.196651591414071,0.126592375050692,Group D
8,Croatia,Morocco,Croatia,0.51856577668691,0.358063888363731,0.12337033494936,Group F
9,Germany,Japan,Germany,0.776140621556374,0.155892915588075,0.067966462855551,Group E
10,Spain,Costa Rica,Spain,0.79745489395587,0.158103543277295,0.044441562766835,Group E
11,Belgium,Canada,Belgium,0.773127419223528,0.126325118126716,0.100547462649756,Group F
12,Switzerland,Cameroon,Switzerland,0.530361978541194,0.281175034029826,0.18846298742898,Group G
13,Uruguay,Korea Republic,Uruguay,0.836964330323953,0.122276491897793,0.040759177778255,Group H
14,Portugal,Ghana,Portugal,0.663320018405302,0.242877164894104,0.093802816700594,Group H
15,Brazil,Serbia,Brazil,0.787969592658992,0.149503454462555,0.062526952878453,Group G
16,Wales,Iran,Wales,0.501531042611712,0.292049207030446,0.206419750357842,Group B
17,Senegal,Qatar,Senegal,0.608916073095213,0.248347943500626,0.142735983404161,Group A
18,Netherlands,Ecuador,Netherlands,0.723979110368821,0.198116637777454,0.077904251853725,Group A
19,England,USA,England,0.858195868816914,0.101931746753937,0.039872384429149,Group B
20,Tunisia,Australia,Tunisia,0.423150473433234,0.304386706326096,0.27246282024067,Group D
21,Poland,Saudi Arabia,Poland,0.63844455137177,0.23306590321655,0.12848954541168,Group C
22,France,Denmark,France,0.634092915702369,0.169928584308984,0.195978499988647,Group D
23,Argentina,Mexico,Argentina,0.735352199470656,0.182925450077787,0.081722350451557,Group C
24,Japan,Costa Rica,Japan,0.503210048021974,0.276706427657374,0.220083524320652,Group E
25,Belgium,Morocco,Belgium,0.598094678444341,0.266029246453339,0.13587607510232,Group F
26,Croatia,Canada,Croatia,0.719505574800509,0.182503007732444,0.097991417467047,Group F
27,Spain,Germany,Spain,0.505059655576161,0.225505026095549,0.26943531832829,Group E
28,Serbia,Cameroon,Serbia,0.472762898938586,0.405753230507809,0.121483870553605,Group G
29,Korea Republic,Ghana,Ghana,0.365212029441804,0.248379570025547,0.386408400532649,Group H
30,Brazil,Switzerland,Brazil,0.798585664914266,0.147310971427967,0.054103363657767,Group G
31,Portugal,Uruguay,Portugal,0.481488532800334,0.30969740424703,0.208814062952636,Group H
32,Senegal,Ecuador,Senegal,0.537947538156439,0.266608375678633,0.195444086164928,Group A
33,Netherlands,Qatar,Netherlands,0.77242454113414,0.17394832165621,0.05362713720965,Group A
34,England,Wales,England,0.71283320365612,0.171189146444405,0.115977649899475,Group B
35,USA,Iran,USA,0.387820115297007,0.27964471359203,0.332535171110963,Group B
36,Denmark,Australia,Denmark,0.592012720814033,0.228508204553696,0.179479074632272,Group D
37,France,Tunisia,France,0.681481024829865,0.229200619349303,0.089318355820832,Group D
38,Argentina,Poland,Argentina,0.683200466530164,0.225796723181242,0.091002810288594,Group C
39,Mexico,Saudi Arabia,Mexico,0.709527010130976,0.214821210845859,0.075651779023165,Group C
40,Belgium,Croatia,Belgium,0.460571802579816,0.229964851010251,0.309463346409933,Group F
41,Morocco,Canada,Morocco,0.636278824422675,0.222006595066264,0.141714580511061,Group F
42,Spain,Japan,Spain,0.825078179824728,0.125087839244917,0.049833980930355,Group E
43,Germany,Costa Rica,Germany,0.744344622317652,0.195512940322882,0.060142437359466,Group E
44,Uruguay,Ghana,Uruguay,0.695019234470578,0.215301135431598,0.089679630097824,Group H
45,Portugal,Korea Republic,Portugal,0.81562389401094,0.140844549493142,0.043531556495918,Group H
46,Switzerland,Serbia,Switzerland,0.490859723060685,0.225788959435731,0.283351317503584,Group G
47,Brazil,Cameroon,Brazil,0.788940004104769,0.172522132334603,0.038537863560627,Group G
