,team1,team2,winner,pred1,preddraw,pred2
0,Ecuador,Qatar,Ecuador,0.6082420421771451,0.26431428252795336,0.1274436752949016
1,England,Iran,England,0.73164555395407,0.19536319369769278,0.07299125234823717
2,Netherlands,Senegal,Netherlands,0.7176436076654528,0.19180747594288347,0.09054891639166382
3,USA,Wales,Wales,0.32820313288608816,0.2128459065412123,0.4589509605726994
4,Argentina,Saudi Arabia,Argentina,0.8341155032354292,0.13514865695759792,0.030735839806973007
5,Denmark,Tunisia,Denmark,0.6027101068549153,0.26926253089682245,0.1280273622482622
6,Mexico,Poland,Mexico,0.4992506736814645,0.3083264814008831,0.19242284491765235
7,France,Australia,France,0.6767560335352367,0.1966515914140709,0.12659237505069235
8,Croatia,Morocco,Croatia,0.5185657766869096,0.3580638883637308,0.12337033494935952
9,Germany,Japan,Germany,0.7761406215563738,0.15589291558807514,0.06796646285555104
10,Spain,Costa Rica,Spain,0.7974548939558704,0.15810354327729453,0.044441562766835106
11,Belgium,Canada,Belgium,0.773127419223528,0.1263251181267158,0.10054746264975623
12,Switzerland,Cameroon,Switzerland,0.530361978541194,0.28117503402982613,0.18846298742897988
13,Uruguay,Korea Republic,Uruguay,0.8369643303239529,0.12227649189779254,0.04075917777825457
14,Portugal,Ghana,Portugal,0.6633200184053019,0.24287716489410427,0.09380281670059387
15,Brazil,Serbia,Brazil,0.7879695926589922,0.14950345446255475,0.06252695287845299
16,Wales,Iran,Wales,0.5015310426117117,0.29204920703044623,0.2064197503578421
17,Senegal,Qatar,Senegal,0.6089160730952132,0.24834794350062595,0.1427359834041608
18,Netherlands,Ecuador,Netherlands,0.723979110368821,0.19811663777745434,0.07790425185372463
19,England,USA,England,0.8581958688169145,0.1019317467539369,0.0398723844291486
20,Tunisia,Australia,Tunisia,0.423150473433234,0.3043867063260959,0.2724628202406701
21,Poland,Saudi Arabia,Poland,0.6384445513717696,0.23306590321655007,0.1284895454116803
22,France,Denmark,France,0.6340929157023685,0.16992858430898408,0.1959784999886474
23,Argentina,Mexico,Argentina,0.7353521994706558,0.18292545007778682,0.0817223504515574
24,Japan,Costa Rica,Japan,0.5032100480219739,0.27670642765737424,0.22008352432065187
25,Belgium,Morocco,Belgium,0.5980946784443405,0.26602924645333925,0.13587607510232028
26,Croatia,Canada,Croatia,0.7195055748005091,0.1825030077324443,0.09799141746704654
27,Spain,Germany,Spain,0.5050596555761613,0.22550502609554887,0.2694353183282898
28,Serbia,Cameroon,Serbia,0.47276289893858636,0.405753230507809,0.12148387055360457
29,Korea Republic,Ghana,Ghana,0.3652120294418039,0.24837957002554675,0.3864084005326493
30,Brazil,Switzerland,Brazil,0.7985856649142659,0.14731097142796723,0.054103363657767016
31,Portugal,Uruguay,Portugal,0.4814885328003338,0.30969740424702996,0.2088140629526362
32,Senegal,Ecuador,Senegal,0.5379475381564389,0.266608375678633,0.19544408616492803
33,Netherlands,Qatar,Netherlands,0.7724245411341405,0.1739483216562097,0.0536271372096498
34,England,Wales,England,0.7128332036561196,0.17118914644440494,0.11597764989947548
35,USA,Iran,USA,0.387820115297007,0.2796447135920299,0.3325351711109632
36,Denmark,Australia,Denmark,0.5920127208140327,0.2285082045536957,0.17947907463227167
37,France,Tunisia,France,0.6814810248298654,0.22920061934930275,0.08931835582083186
38,Argentina,Poland,Argentina,0.6832004665301644,0.2257967231812418,0.09100281028859375
39,Mexico,Saudi Arabia,Mexico,0.7095270101309759,0.21482121084585873,0.07565177902316532
40,Belgium,Croatia,Belgium,0.46057180257981584,0.2299648510102509,0.3094633464099332
41,Morocco,Canada,Morocco,0.6362788244226751,0.2220065950662641,0.14171458051106073
42,Spain,Japan,Spain,0.8250781798247282,0.1250878392449173,0.04983398093035454
43,Germany,Costa Rica,Germany,0.7443446223176524,0.19551294032288166,0.060142437359465804
44,Uruguay,Ghana,Uruguay,0.6950192344705782,0.21530113543159823,0.08967963009782356
45,Portugal,Korea Republic,Portugal,0.8156238940109396,0.1408445494931425,0.0435315564959179
46,Switzerland,Serbia,Switzerland,0.4908597230606848,0.2257889594357315,0.2833513175035836
47,Brazil,Cameroon,Brazil,0.7889400041047695,0.17252213233460323,0.038537863560627175
