,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
63705,142,Nicaragua,NCA,1071.83,1079.18,3,CONCACAF,2022-10-06
63706,141,Burundi,BDI,1076.26,1076.26,0,CAF,2022-10-06
63707,140,St. Kitts and Nevis,SKN,1076.91,1076.91,0,CONCACAF,2022-10-06
63708,135,Turkmenistan,TKM,1100.47,1100.47,0,AFC,2022-10-06
63709,138,Ethiopia,ETH,1091.19,1088.27,0,CAF,2022-10-06
63710,137,Rwanda,RWA,1093.66,1095.04,1,CAF,2022-10-06
63711,136,Solomon Islands,SOL,1095.7,1092.56,-1,OFC,2022-10-06
63712,143,Eswatini,SWZ,1070.89,1070.89,-1,CAF,2022-10-06
63713,139,Suriname,SUR,1077.3,1072.24,-4,CONCACAF,2022-10-06
63714,144,Lithuania,LTU,1069.75,1074.08,2,UEFA,2022-10-06
63715,156,Afghanistan,AFG,1023.04,1023.04,2,AFC,2022-10-06
63716,146,Malaysia,MAS,1062.32,1057.59,-2,AFC,2022-10-06
63717,147,Lesotho,LES,1061.4,1061.4,2,CAF,2022-10-06
63718,148,Botswana,BOT,1056.46,1060.17,2,CAF,2022-10-06
63719,149,Kuwait,KUW,1053.41,1053.41,0,AFC,2022-10-06
63720,150,Liberia,LBR,1049.66,1051.25,0,CAF,2022-10-06
63721,151,Andorra,AND,1035.2,1028.7,-1,UEFA,2022-10-06
63722,152,Indonesia,IDN,1033.9,1019.19,-3,AFC,2022-10-06
63723,153,Dominican Republic,DOM,1031.86,1031.86,2,CONCACAF,2022-10-06
63724,154,Maldives,MDV,1026.09,1018.25,-2,AFC,2022-10-06
63725,155,Yemen,YEM,1023.52,1023.52,2,AFC,2022-10-06
63726,108,Tajikistan,TJK,1185.7,1179.1,-1,AFC,2022-10-06
63727,145,Hong Kong,HKG,1062.39,1058.37,-2,AFC,2022-10-06
63728,134,Latvia,LVA,1114.21,1125.36,5,UEFA,2022-10-06
63729,122,Faroe Islands,FRO,1147.17,1136.29,-3,UEFA,2022-10-06
63730,132,Central African Republic,CTA,1116.97,1116.06,-1,CAF,2022-10-06
63731,157,Chinese Taipei,TPE,1017.78,1017.78,0,AFC,2022-10-06
63732,109,Estonia,EST,1184.64,1177.4,-1,UEFA,2022-10-06
63733,110,Cyprus,CYP,1183.82,1180.52,2,UEFA,2022-10-06
63734,111,Thailand,THA,1174.92,1170.69,0,AFC,2022-10-06
63735,112,Korea DPR,PRK,1169.96,1169.96,0,AFC,2022-10-06
63736,113,Kazakhstan,KAZ,1166.63,1166.28,-1,UEFA,2022-10-06
63737,114,Mozambique,MOZ,1165.22,1165.41,-2,CAF,2022-10-06
63738,115,Namibia,NAM,1164.13,1164.13,-2,CAF,2022-10-06
63739,116,Guinea-Bissau,GNB,1160.71,1165.53,1,CAF,2022-10-06
63740,117,Sierra Leone,SLE,1160.31,1169.71,4,CAF,2022-10-06
63741,118,Guatemala,GUA,1156.7,1161.96,0,CONCACAF,2022-10-06
63742,119,Angola,ANG,1155.9,1149.08,-1,CAF,2022-10-06
63743,120,Libya,LBY,1154.25,1148.36,-1,CAF,2022-10-06
63744,121,Niger,NIG,1152.8,1155.23,2,CAF,2022-10-06
63745,123,Azerbaijan,AZE,1146.72,1127.17,-5,UEFA,2022-10-06
63746,124,Malawi,MWI,1144.97,1144.77,2,CAF,2022-10-06
63747,125,Zimbabwe,ZIM,1138.56,1138.56,2,CAF,2022-10-06
63748,126,Gambia,GAM,1137.47,1137.47,2,CAF,2022-10-06
63749,127,Togo,TOG,1128.92,1130.22,1,CAF,2022-10-06
63750,128,Sudan,SDN,1127.34,1124.91,-2,CAF,2022-10-06
63751,129,Comoros,COM,1123.18,1127.44,2,CAF,2022-10-06
63752,130,Tanzania,TAN,1119.89,1121.91,-1,CAF,2022-10-06
63753,131,Antigua and Barbuda,ATG,1117.01,1117.01,-1,CONCACAF,2022-10-06
63754,133,Philippines,PHI,1115.13,1115.13,-1,AFC,2022-10-06
63755,158,Myanmar,MYA,1007.89,1011.91,0,AFC,2022-10-06
63756,183,Mongolia,MNG,913.55,913.55,-1,AFC,2022-10-06
63757,160,Singapore,SGP,1003.5,1004.75,1,AFC,2022-10-06
63758,189,Cook Islands,COK,899.33,899.33,0,OFC,2022-10-06
63759,190,Brunei Darussalam,BRU,898.41,897.1,0,AFC,2022-10-06
63760,191,Samoa,SAM,894.26,894.26,0,OFC,2022-10-06
63761,192,Bangladesh,BAN,884.45,883.18,0,AFC,2022-10-06
63762,193,Djibouti,DJI,875.05,877.84,0,CAF,2022-10-06
63763,194,Pakistan,PAK,866.81,866.81,-1,AFC,2022-10-06
63764,195,Cayman Islands,CAY,865.72,865.72,-1,CONCACAF,2022-10-06
63765,196,Liechtenstein,LIE,862.39,873.99,2,UEFA,2022-10-06
63766,197,Tonga,TGA,861.81,861.81,0,OFC,2022-10-06
63767,198,Timor-Leste,TLS,860.06,860.06,-1,AFC,2022-10-06
63768,188,American Samoa,ASA,900.27,900.27,0,OFC,2022-10-06
63769,199,Seychelles,SEY,859.56,860.48,1,CAF,2022-10-06
63770,201,Aruba,ARU,855.37,855.37,-1,CONCACAF,2022-10-06
63771,202,Bahamas,BAH,854.8,854.8,-1,CONCACAF,2022-10-06
